DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
José Marmol 415,,Amiguitos,Amiguitos,4981-3244,future_caballito@ciudad.com.ar,IniCom,Gestion Privada,-58.4258795522527,-34.6183252123408,"{""type"":""Point"",""coordinates"":[-58.42588,-34.61833]}"
José Mármol 780,,Colegio de Las Victorias,Colegio de Las Victorias,4931-1233,,MedCom,Gestion Privada,-58.4248227639351,-34.6228536416499,"{""type"":""Point"",""coordinates"":[-58.42482,-34.62285]}"
Avda. La Plata 1125,,Puente Azul,Puente Azul,4923-4275 4926-0446,,IniCom,Gestion Privada,-58.4265324385788,-34.6287511344182,"{""type"":""Point"",""coordinates"":[-58.42653,-34.62875]}"
Avelino Díaz 324,,Escuela de Formacion Educativa y Deportiva Infantil,Esc. de Formación Educativa y Deportiva,4921-4287 4924-0048,efedi@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4251624278464,-34.6350449195571,"{""type"":""Point"",""coordinates"":[-58.42516,-34.63504]}"
Doblas 380/382,,Cecilia A. Mc'Allister,Doblas Kindergarten,4902-2494/2829,,IniCom - PriCom,Gestion Privada,-58.4310198812,-34.6206906856587,"{""type"":""Point"",""coordinates"":[-58.43102,-34.62069]}"
José Marmol 679,,Escuela Infantil Inst. La Torrecita,EI La Torrecita,4983-2963,,IniCom,Gestion Privada,-58.42536757482,-34.6213685576505,"{""type"":""Point"",""coordinates"":[-58.42537,-34.62137]}"
Riglos 557,,Jardín de Infantes Aquí estoy,J Infantes Aquí estoy,4925-0257,aqui_estoy@ciudad.com.ar,IniCom,Gestion Privada,-58.4363560357875,-34.6252455634641,"{""type"":""Point"",""coordinates"":[-58.43636,-34.62525]}"
Thames 2246,,Colegio Beth,Colegio Beth,4899-0205/06,colegiobeth@infovia.com.ar,IniCom - PriCom,Gestion Privada,-58.4248128223598,-34.5835245854819,"{""type"":""Point"",""coordinates"":[-58.42481,-34.58352]}"
Avda. Luis M. Campos 898,,Colegio Esclavas del Sagrado Corazon de Jesus,Col. Esclavas del Sagrado Corazón de Jesús,4771-0890 4773-1161,,IniCom - PriCom - MedCom,Gestion Privada,-58.4374065457642,-34.5686394018651,"{""type"":""Point"",""coordinates"":[-58.43741,-34.56864]}"
San Nicolás 3739,,Escuela Primaria Crea,E. Crea,4501-5800,,PriCom,Gestion Privada,-58.5063925323428,-34.5996882282296,"{""type"":""Point"",""coordinates"":[-58.50639,-34.59969]}"
Avda. Cabildo 1333,,Inst. Ntra. Sra. de la Misericordia,I. Ntra. Sra. de la Misericordia,4784-5209,misebel@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4491776717778,-34.5675043620314,"{""type"":""Point"",""coordinates"":[-58.44918,-34.5675]}"
Montańeses 1936,,Inst. Superior Porteńo Virgen del Pilar,I. Superior Porteńo Virgen del Pilar,4783-1856/0527,,MedCom,Gestion Privada,-58.4476697416543,-34.5589814833971,"{""type"":""Point"",""coordinates"":[-58.44767,-34.55898]}"
Castillo 767,,Inst. Religiosas de San Jose,Inst. Religiosas de San José,4777-0896,sanjosepd@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4363365521423,-34.5930567834257,"{""type"":""Point"",""coordinates"":[-58.43634,-34.59306]}"
Avda. Dorrego 2124,,Inst. Leon XIII,Inst. Leon XIII,4771-9873/74,leonxiii@sinectis.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4397793023519,-34.5782315181684,"{""type"":""Point"",""coordinates"":[-58.43978,-34.57823]}"
Soler 5942,,Inst. Fasta Caterina,I Fasta Caterina,4771-6523 4777-2031,catherina@sinectis.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4361347171494,-34.5782181835326,"{""type"":""Point"",""coordinates"":[-58.43613,-34.57822]}"
Jorge Luis Borges 1883,Jorge Luis Borges 1851,Centro Educativo San Francisco Javier,CE San Francisco Javier,4831-0233,postmaster@ef00100.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.427320809863,-34.5869902073381,"{""type"":""Point"",""coordinates"":[-58.42732,-34.58699]}"
Céspedes 3172,,Inst. Compańia de Maria,I Compańía de María,4552-3317/6628,posmaster@cf00999.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4529066571074,-34.5758962830764,"{""type"":""Point"",""coordinates"":[-58.45291,-34.5759]}"
Avda. Raúl Scalabrini Ortiz 2840,,Inst. Lange Ley,Inst. Lange Ley,4804-7412/9942/6850,langeley@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4129630248383,-34.5830824925932,"{""type"":""Point"",""coordinates"":[-58.41296,-34.58308]}"
Arce 322,,Inst. Hogar San Benito,Inst. Hogar San Benito,4772-6571,,IniCom - PriCom - PriAdu,Gestion Privada,-58.4308073252895,-34.5710893673679,"{""type"":""Point"",""coordinates"":[-58.43081,-34.57109]}"
Avda. Federico Lacroze 2950,,Inst. Patronato Espańol Virgen de Pilar,I. Patronato Espańol Virgen de Pilar,4552-0720,patronato_espaniol@ciudad.com.,IniCom - PriCom - MedCom,Gestion Privada,-58.4478750421614,-34.575490427401,"{""type"":""Point"",""coordinates"":[-58.44788,-34.57549]}"
Bonpland 1999,Nicaragua 5668,Inst. Obra de la Conserv. de la Fe Col F. Faa Di Bruno,I. O.C. Fe Col Faa Di Bruno,4771-1975,colemin@sinectis.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4344987145718,-34.5810687898007,"{""type"":""Point"",""coordinates"":[-58.4345,-34.58107]}"
Conesa 618,Conesa 620,Escuela San Andres,Escuela San Andres,4553-5310,sandresescuela@hotmail.com,PriAdu,Gestion Privada,-58.4470189307149,-34.5752670760759,"{""type"":""Point"",""coordinates"":[-58.44702,-34.57527]}"
Darregueyra 2445,,Inst. San Ambrosio,Inst. San Ambrosio,4773-7442 4899-0577,,MedCom - SNUCom,Gestion Privada,-58.4240610045522,-34.5805915463787,"{""type"":""Point"",""coordinates"":[-58.42406,-34.58059]}"
Avda. Santa Fe 4320,,Inst. Ambrosio Tognoni,I Ambrosio Tognoni,4773-3216,tognoni@ciudad.com.ar,IniCom - PriCom - PriEsp -Otras,Gestion Privada,-58.4229384038359,-34.5805679415076,"{""type"":""Point"",""coordinates"":[-58.42294,-34.58057]}"
11 de Septiembre de 1888 1240,,Inst. Esquiu,I Esquiú,4784-3222,esquiu@esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4442658996205,-34.5669865461547,"{""type"":""Point"",""coordinates"":[-58.44427,-34.56699]}"
Armenia 1353,,Inst. San Gregorio El Iluminador,Inst. San Gregorio El Iluminador,4772-8174/3558,,IniCom - PriCom - MedCom,Gestion Privada,-58.4307337705381,-34.5918561767238,"{""type"":""Point"",""coordinates"":[-58.43073,-34.59186]}"
Ciudad de la Paz 1282,,Inst. Hans Christian Andersen,Inst. Hans Christian Andersen,4783-8067/5966,andersen@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.450703219551,-34.568990755807,"{""type"":""Point"",""coordinates"":[-58.4507,-34.56899]}"
Avda. Federico Lacroze 1973,,Inst. Washington School,Inst. Washington School,4773-2122,fundmm@washington.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4412998909796,-34.5660374251125,"{""type"":""Point"",""coordinates"":[-58.4413,-34.56604]}"
Olleros 2283,,Colegio Lincoln,Colegio Lincoln,4778-1997/7169,egb@lincoln.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4428538769158,-34.5690670263941,"{""type"":""Point"",""coordinates"":[-58.44285,-34.56907]}"
3 de Febrero 760,,Inst. Sta. Maria de Lujan,Inst. Sta. Maria de Luján,4773-4125/0701,isml@escape.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4404246918486,-34.5711203130113,"{""type"":""Point"",""coordinates"":[-58.44042,-34.57112]}"
Avda. Luis M. Campos 1582,,Inst. Argentino de la Audicion y el Lenguaje,I Arg de Audición y Lenguaje,4784-6211,,IniEsp - PriEsp,Gestion Privada,-58.4445369752951,-34.562292605678,"{""type"":""Point"",""coordinates"":[-58.44454,-34.56229]}"
Concepción Arenal 2357,,Colegio Corazon de Jesus,Colegio Corazón de Jesús,4771-0208,,IniCom - PriCom - MedCom,Gestion Privada,-58.4365614721599,-34.5737456209444,"{""type"":""Point"",""coordinates"":[-58.43656,-34.57375]}"
Crámer 450,,Escuela del Sol,Escuela del Sol,4553-6009/6351,rector@escueladelsol.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4445061634943,-34.5748524747633,"{""type"":""Point"",""coordinates"":[-58.44451,-34.57485]}"
Avda. Jorge Newbery 2880,,Inst. Virgen del Valle,Inst. Virgen del Valle,4553-9715,virgendelvalle@aol.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4443652344865,-34.5759573732501,"{""type"":""Point"",""coordinates"":[-58.44437,-34.57596]}"
Armenia 2362,,Colegio Integral Martin Buber,Colegio Integral Martín Buber,4831-6000,martin.buber@comnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4202981396748,-34.5847356282321,"{""type"":""Point"",""coordinates"":[-58.4203,-34.58474]}"
Armenia 1322,Armenia 1318/1338,Inst. Marie Manoogian,Inst. Marie Manoogian,4771-2820/6500,agbu.arg@impsat1.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4312673927987,-34.5919350612614,"{""type"":""Point"",""coordinates"":[-58.43127,-34.59194]}"
Gurruchaga 2444,,Inst. Centro de Educ. Corporal,I Centro Educ. Corporal,4832-0408,isea@cvtci.com.ar,SNUArt,Gestion Privada,-58.420875706331,-34.582884484818,"{""type"":""Point"",""coordinates"":[-58.42088,-34.58288]}"
Valdenegro 3470,,Inst. Mi Mańana,Inst. Mi Mańana,4541-7938,,PriEsp,Gestion Privada,-58.4898822959531,-34.5626102768273,"{""type"":""Point"",""coordinates"":[-58.48988,-34.56261]}"
Serrano 1261,,Inst. Esteban Agustin Gascon,I Esteban Agustin Gascón,4772-7087,,PriCom,Gestion Privada,-58.4337203098538,-34.5911722754076,"{""type"":""Point"",""coordinates"":[-58.43372,-34.59117]}"
Moldes 1487,,Inst. San Mateo,Inst. San Mateo,4784-8360 4783-1110,info@stmatthewscollege.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4545207037395,-34.5685936583616,"{""type"":""Point"",""coordinates"":[-58.45452,-34.56859]}"
Lerma 660,,Inst. Genesis,Inst. Génesis,4771-9130 4777-1167,info@instituto_genesis.com.ar,IniEsp - PriEsp - MedAdu -Otras,Gestion Privada,-58.4335857030807,-34.592672995209,"{""type"":""Point"",""coordinates"":[-58.43359,-34.59267]}"
Avda. Juan B. Alberdi 2239,,Inst. Juan Bautista Alberdi,I.J.B.Alberdi,4637-8138,,MedCom,Gestion Privada,-58.4594285122436,-34.6304386934485,"{""type"":""Point"",""coordinates"":[-58.45943,-34.63044]}"
Thames 1078,,Inst. W. Pringle Morgan,Inst. W. Pringle Morgan,4773-0301,ipmorgan@vianetworks.net.ar,IniEsp - PriEsp - MedEsp - Otras,Gestion Privada,-58.4367968990898,-34.5915471746702,"{""type"":""Point"",""coordinates"":[-58.4368,-34.59155]}"
Teodoro García 2449,,Inst. Jorge Newbery,Inst. Jorge Newbery,4786-5856,,PriEsp - Otras,Gestion Privada,-58.4461933834811,-34.570108178708,"{""type"":""Point"",""coordinates"":[-58.44619,-34.57011]}"
Charcas 3949,,Colegio de los Nińos,Colegio de los Nińos,4832-4547 4833-2607,colbos@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4192296398255,-34.5864465088421,"{""type"":""Point"",""coordinates"":[-58.41923,-34.58645]}"
Thames 2037,Thames 2041,Inst. Palermo Chico,Inst. Palermo Chico,4774-3975,palchico@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4266629399025,-34.585215205298,"{""type"":""Point"",""coordinates"":[-58.42666,-34.58522]}"
Avda. Luis M. Campos 889,,Escuela del Caminante,Escuela del Caminante,4771-2736/2651,escueladelcaminante@yahoo.com,MedCom,Gestion Privada,-58.4371573722912,-34.5683821247819,"{""type"":""Point"",""coordinates"":[-58.43716,-34.56838]}"
Migueletes 1747,,Belgrano Chico,Belgrano Chico,4786-1799,belgranochico@tutopia.com,IniCom - PriCom,Gestion Privada,-58.4437676439933,-34.559259667344,"{""type"":""Point"",""coordinates"":[-58.44377,-34.55926]}"
Avda. Federico Lacroze 2138,,C.E.P.P.L.A.,CEPPLA,4772-4117,ceppla@arnet.com.ar,PriEsp - Otras,Gestion Privada,-58.4423759094651,-34.5676431848844,"{""type"":""Point"",""coordinates"":[-58.44238,-34.56764]}"
José Antonio Cabrera 5901,,Colegio San Francisco Javier,Colegio San Francisco Javier,4777-5011 al 14,sfjavier@sminter.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4412765139891,-34.5831844184596,"{""type"":""Point"",""coordinates"":[-58.44128,-34.58318]}"
Arce 334,,Colegio del Arce,Colegio del Arce,4772-1902,,IniCom - PriCom - MedCom,Gestion Privada,-58.4308875004119,-34.5710340159902,"{""type"":""Point"",""coordinates"":[-58.43089,-34.57103]}"
Uriarte 1152,Uriarte 1154,Colegio Uriarte,Colegio Uriarte,4773-2477,uriarteschool@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4367897788157,-34.590512427048,"{""type"":""Point"",""coordinates"":[-58.43679,-34.59051]}"
Ugarteche 3065,,Inst. Manantiales,Inst. Manantiales,4806-3939/6893,,IniCom - PriCom - MedCom,Gestion Privada,-58.4119255678996,-34.5807509470034,"{""type"":""Point"",""coordinates"":[-58.41193,-34.58075]}"
Jorge Luis Borges 2287,Jorge Luis Borges 2289,Escuela Superior de Moda,Escuela Superior de Moda,4832-2068 4833-0966,colemod@infovia.com.ar,SNUCom,Gestion Privada,-58.4232032326794,-34.5840034929576,"{""type"":""Point"",""coordinates"":[-58.4232,-34.584]}"
3 de Febrero 801,,ICANA Escuela Superior,ICANA Escuela Superior,4772-5104/1082,profesorado@bcl.edu.ar,SNUCom,Gestion Privada,-58.4409408252093,-34.5704515001063,"{""type"":""Point"",""coordinates"":[-58.44094,-34.57045]}"
Aguilar 2845,,Inst. Psicopedagogico Senderos,Inst. Psicopedagógico Senderos,4551-5624,senderos@elsitio.net,PriEsp - Otras,Gestion Privada,-58.4506577064215,-34.5726806818027,"{""type"":""Point"",""coordinates"":[-58.45066,-34.57268]}"
Nicaragua 4739,,Inst. Amapola,I Amapola,4831-7596,amapola@overnet.com.ar,IniCom - PriCom,Gestion Privada,-58.4264820163478,-34.5870349973925,"{""type"":""Point"",""coordinates"":[-58.42648,-34.58703]}"
Juan María Gutiérrez 3972,,Asociacion Comunidad Israelita Sefaradi Argentina,Asoc. Comunidad Israelita Sefaradí Arg.,4804-8918,yoshurun@yoshurun.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.415536885162,-34.5803186362303,"{""type"":""Point"",""coordinates"":[-58.41554,-34.58032]}"
Bruselas 945,,Inst. de Capacitación y Educación Terciaria,I de Capac. y Edu. Terciaria,,,SNUCom,Gestion Privada,-58.5233898031867,-34.6262620400544,"{""type"":""Point"",""coordinates"":[-58.52339,-34.62626]}"
Uriarte 2231,,Colegio Bilingüe Armonia S.R.L.,Colegio Bilingüe Armonia S.R.L.,4774-1555,,IniCom,Gestion Privada,-58.4255608857222,-34.5830807965682,"{""type"":""Point"",""coordinates"":[-58.42556,-34.58308]}"
Zapiola 955,,La Escuela del Arbol,La Escuela del Arbol,4551-5630,delarbol@compuciencia.com.ar,IniCom - PriCom,Gestion Privada,-58.4510913507997,-34.5745327272977,"{""type"":""Point"",""coordinates"":[-58.45109,-34.57453]}"
Olleros 3257,,Colegio de Las Estrellas,Colegio de Las Estrellas,4552-6274,,IniCom - PriCom,Gestion Privada,-58.449009843983,-34.5789158783417,"{""type"":""Point"",""coordinates"":[-58.44901,-34.57892]}"
Benjamín Matienzo 2571,,Centro de Investigacion Cinematografica,Centro de Investigación Cinematográfica,4553-5120/2775,cic@cinecic.com.ar,SNUArt,Gestion Privada,-58.441189496361,-34.5741158776666,"{""type"":""Point"",""coordinates"":[-58.44119,-34.57412]}"
Cnel. Niceto Vega 4950,,El Jardin de los Cerezos,El Jardín de los Cerezos,4773-0944,,IniCom,Gestion Privada,-58.4330772485333,-34.5912201848439,"{""type"":""Point"",""coordinates"":[-58.43308,-34.59122]}"
Avda. Santa Fe 5158,,Romain Rolland,Romain Rolland,4774-1622,,IniCom,Gestion Privada,-58.4327064349225,-34.5764159054474,"{""type"":""Point"",""coordinates"":[-58.43271,-34.57642]}"
Ciudad de la Paz 160,,Colegio del Buen Ayre,Colegio del Buen Ayre,4775-9534,,IniCom - PriCom,Gestion Privada,-58.439837842709,-34.5755888132542,"{""type"":""Point"",""coordinates"":[-58.43984,-34.57559]}"
Thames 2472,,Colegio Bilingüe Armonia S.R.L.,Colegio Bilingüe Armonía S.R.L.,4774-8688,colegio@armonia.com.ar,PriCom,Gestion Privada,-58.4223352260975,-34.5815485578589,"{""type"":""Point"",""coordinates"":[-58.42234,-34.58155]}"
Avda. Pte. Figueroa Alcorta 5575,,Inst. Gral. San Martin,Inst. Gral. San Martín,4781-3812,cultura@geba.com.ar,SNUCom,Gestion Privada,-58.4256369770183,-34.560363534907,"{""type"":""Point"",""coordinates"":[-58.42564,-34.56036]}"
Uriarte 2322,,Inst. de la Mascara,I de la Máscara,4775-3135/5424,buma@webar.com,SNUCom,Gestion Privada,-58.4246536034778,-34.5820668020483,"{""type"":""Point"",""coordinates"":[-58.42465,-34.58207]}"
Charcas 4446,,El Jardin de la Plaza,El Jardin de la Plaza,4774-1058,eljardindelaplaza@ciudad.com.a,IniCom,Gestion Privada,-58.4245106426218,-34.5827988082555,"{""type"":""Point"",""coordinates"":[-58.42451,-34.5828]}"
Moldes 2449,,Inst. Rabino Jose Caro,Inst. Rabino Jose Caro,4784-6719/1394,,IniCom - PriCom,Gestion Privada,-58.4620626018599,-34.5604494481493,"{""type"":""Point"",""coordinates"":[-58.46206,-34.56045]}"
Quesada 2602,,Escuela de Enf. y Esp. Paramedicas de la Cruz Roja Arg.,Esc. Enf. y Esp. Paramédicas Cruz Roja Arg,4544-1188/3024,crsaavsudnet.com.ar,MedAdu - SNUCom - Otras,Gestion Privada,-58.4652791253136,-34.5555213187132,"{""type"":""Point"",""coordinates"":[-58.46528,-34.55552]}"
Zapiola 1680,,Inst. San Maximiliano Kolbe,Inst. San Maximiliano Kolbe,4551-5555,kolbe1@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4596330135874,-34.5703219727435,"{""type"":""Point"",""coordinates"":[-58.45963,-34.57032]}"
Dr. Victorino de la Plaza 1060,,Inst. Brotecitos,I Brotecitos,4787-2119,giovannal@sinectis.com.ar,IniCom,Gestion Privada,-58.4482590510904,-34.5485578672441,"{""type"":""Point"",""coordinates"":[-58.44826,-34.54856]}"
Avda. del Libertador 7395,,Inst. Jose Ingenieros,Inst. Jose Ingenieros,4701-5964/8,,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4586147583146,-34.5452676545068,"{""type"":""Point"",""coordinates"":[-58.45861,-34.54527]}"
Avda. del Libertador 6115,,Inst. Santa Ana,Inst. Santa Ana,4784-7650/6795,,SNUArt,Gestion Privada,-58.4484246543907,-34.5554470374064,"{""type"":""Point"",""coordinates"":[-58.44842,-34.55545]}"
Amenábar 1840,,Colegio Internacional de Las Islas,Col. Internacional de Las Islas,4787-2294 4784-6434,islands@datamarkets.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4565385391343,-34.5656583842318,"{""type"":""Point"",""coordinates"":[-58.45654,-34.56566]}"
Avda. Del Libertador 7801,,Inst. Superior de Educ. Fisica Infantil Hugo Quinn,I. Sup. de Educ. Fisica Infantil,4702-7796/99/3766,pmcirigliano@giga.com.ar,SNUCom,Gestion Privada,-58.4619140561972,-34.5425619348,"{""type"":""Point"",""coordinates"":[-58.46191,-34.54256]}"
Arribeńos 2871,,Inst. Belgrano Uno,I Belgrano Uno,4786-5628/29 4788-4846,info@belgranouno.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4559892342805,-34.5510011429498,"{""type"":""Point"",""coordinates"":[-58.45599,-34.551]}"
Avda. Pte. Figueroa Alcorta 7597,,Inst. River Plate / Centro de Estudios Terciarios River Plate,I. River Plate/C. de Estudios Terciarios,4788-1221/1182,terciario.riverplate@netdata.c,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4493832944066,-34.5464218660764,"{""type"":""Point"",""coordinates"":[-58.44938,-34.54642]}"
Moldes 1764,,Inst. San Cayetano,Inst. San Cayetano,4783-0889/5900,,IniCom - PriCom,Gestion Privada,-58.4567906339201,-34.5669341083264,"{""type"":""Point"",""coordinates"":[-58.45679,-34.56693]}"
Avda. del Libertador 6796,Montańeses 2845/47,Escuela Tecnica Ort 02,Esc. Técnica Ort 02,4789-6500/24,,MedCom,Gestion Privada,-58.4546234270928,-34.5506348911387,"{""type"":""Point"",""coordinates"":[-58.45462,-34.55063]}"
Núńez 2776,,Escuela de la Aldea,Escuela de la Aldea,4702-8042,esclaaldea@arnet.com.ar,PriCom,Gestion Privada,-58.4706519952523,-34.5520359674875,"{""type"":""Point"",""coordinates"":[-58.47065,-34.55204]}"
11 de Septiembre de 1888 3168,,Aula XXI,Aula XXI,4701-2919/3533,aula21@interserver.com.ar,MedCom,Gestion Privada,-58.4590666488959,-34.5490181642595,"{""type"":""Point"",""coordinates"":[-58.45907,-34.54902]}"
Avda. del Libertador 6796,Montańeses 2845/47,Inst. de Tecnologia Ort 02,I de Tecnología Ort 02,4789-6500,recito2@ort.edu.ar,SNUCom,Gestion Privada,-58.4546234270928,-34.5506348911387,"{""type"":""Point"",""coordinates"":[-58.45462,-34.55063]}"
Vuelta de Obligado 3723,,Inst. Propuesta Actual,Inst. Propuesta Actual,4702-6663/4198,propuestactual@yahoo.com,MedCom,Gestion Privada,-58.4677166307063,-34.5472772760732,"{""type"":""Point"",""coordinates"":[-58.46772,-34.54728]}"
Crámer 1222,,Inst. Aequalis,I Aequalis,4554-0771,,PriCom,Gestion Privada,-58.4522390973283,-34.5715848873066,"{""type"":""Point"",""coordinates"":[-58.45224,-34.57158]}"
Montańeses 2759,,Oxford School,Oxford School,4788-2925 4787-0386,oxford@vaneduc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4538804954,-34.5514608119188,"{""type"":""Point"",""coordinates"":[-58.45388,-34.55146]}"
3 de Febrero 1730,,Inst. San Martin de los Campos,I. San Martin de los Campos,4780-2050/2060,school@st_martin.esc.edu.ar.,PriCom - MedCom,Gestion Privada,-58.4491399193319,-34.5628455889354,"{""type"":""Point"",""coordinates"":[-58.44914,-34.56285]}"
Montańeses 2434,,Inst. Cultural Pueblo Blanco,I Cultural Pueblo Blanco,4783-3006/9,iaml@puebloblanco.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4517051268792,-34.5543272576033,"{""type"":""Point"",""coordinates"":[-58.45171,-34.55433]}"
